ID,SEX_WITN,AGE_WITN,SEX_PART,ACCURATE,HONEST,MEMORY,COGNITIV,SENIOR_S,SENIOR_H,ACC_Cen,AGEW_Cen,COG_Cen,HON_Cen,MEM_Cen,SENH_Cen,SENS_Cen
7,2,49,1,3,6,3,4,3,2,-1.22,0,-.83,.0899999999999999,-1.45,-3.52,-.79
27,2,49,1,3,6,4,6,3,5,-1.22,0,1.17,.0899999999999999,-.45,-.52,-.79
40,2,49,1,4,6,4,5,6,8,-.22,0,.17,.0899999999999999,-.45,2.48,2.21
62,2,49,1,4,5,4,3,4,6,-.22,0,-1.83,-.91,-.45,.48,.21
68,1,49,1,3,5,6,4,7,10,-1.22,0,-.83,-.91,1.55,4.48,3.21
78,1,49,1,4,6,4,3,1,3,-.22,0,-1.83,.0899999999999999,-.45,-2.52,-2.79
91,2,49,1,5,6,6,6,3,2,.78,0,1.17,.0899999999999999,1.55,-3.52,-.79
95,2,49,1,5,6,4,4,2,4,.78,0,-.83,.0899999999999999,-.45,-1.52,-1.79
104,1,49,1,5,7,5,5,1,5,.78,0,.17,1.09,.55,-.52,-2.79
108,2,49,1,4,6,5,7,1,9,-.22,0,2.17,.0899999999999999,.55,3.48,-2.79
120,1,49,1,4,3,4,4,3,4,-.22,0,-.83,-2.91,-.45,-1.52,-.79
130,1,49,1,4,6,6,6,2,6,-.22,0,1.17,.0899999999999999,1.55,.48,-1.79
166,1,49,1,4,6,4,3,5,8,-.22,0,-1.83,.0899999999999999,-.45,2.48,1.21
173,1,49,1,5,7,6,6,1,2,.78,0,1.17,1.09,1.55,-3.52,-2.79
175,1,49,1,2,4,2,4,5,6,-2.22,0,-.83,-1.91,-2.45,.48,1.21
209,2,49,1,3,7,4,4,1,1,-1.22,0,-.83,1.09,-.45,-4.52,-2.79
254,2,49,1,3,6,4,3,8,8,-1.22,0,-1.83,.0899999999999999,-.45,2.48,4.21
19,1,69,1,4,5,4,4,5,2,-.22,20,-.83,-.91,-.45,-3.52,1.21
32,2,69,1,2,5,3,4,2,2,-2.22,20,-.83,-.91,-1.45,-3.52,-1.79
39,1,69,1,6,6,6,6,4,8,1.78,20,1.17,.0899999999999999,1.55,2.48,.21
50,1,69,1,4,4,4,5,3,9,-.22,20,.17,-1.91,-.45,3.48,-.79
77,1,69,1,3,6,4,4,1,4,-1.22,20,-.83,.0899999999999999,-.45,-1.52,-2.79
81,2,69,1,5,6,4,5,2,3,.78,20,.17,.0899999999999999,-.45,-2.52,-1.79
96,1,69,1,3,4,2,4,5,9,-1.22,20,-.83,-1.91,-2.45,3.48,1.21
97,2,69,1,4,5,3,4,4,6,-.22,20,-.83,-.91,-1.45,.48,.21
103,1,69,1,4,6,5,6,5,2,-.22,20,1.17,.0899999999999999,.55,-3.52,1.21
107,2,69,1,5,7,5,5,2,3,.78,20,.17,1.09,.55,-2.52,-1.79
111,1,69,1,6,7,6,6,2,3,1.78,20,1.17,1.09,1.55,-2.52,-1.79
115,2,69,1,5,7,4,5,1,1,.78,20,.17,1.09,-.45,-4.52,-2.79
119,1,69,1,3,7,4,6,2,5,-1.22,20,1.17,1.09,-.45,-.52,-1.79
129,1,69,1,5,7,4,5,3,9,.78,20,.17,1.09,-.45,3.48,-.79
134,2,69,1,4,4,4,3,4,9,-.22,20,-1.83,-1.91,-.45,3.48,.21
144,1,69,1,4,6,5,5,1,1,-.22,20,.17,.0899999999999999,.55,-4.52,-2.79
154,2,69,1,4,6,5,5,2,4,-.22,20,.17,.0899999999999999,.55,-1.52,-1.79
155,2,69,1,3,6,3,4,3,1,-1.22,20,-.83,.0899999999999999,-1.45,-4.52,-.79
163,1,69,1,4,6,5,5,1,9,-.22,20,.17,.0899999999999999,.55,3.48,-2.79
179,1,69,1,5,5,4,5,8,3,.78,20,.17,-.91,-.45,-2.52,4.21
181,1,69,1,4,4,5,4,6,9,-.22,20,-.83,-1.91,.55,3.48,2.21
183,1,69,1,4,5,3,4,10,6,-.22,20,-.83,-.91,-1.45,.48,6.21
210,2,69,1,6,6,5,5,3,8,1.78,20,.17,.0899999999999999,.55,2.48,-.79
211,2,69,1,5,6,4,4,2,4,.78,20,-.83,.0899999999999999,-.45,-1.52,-1.79
212,2,69,1,6,7,7,7,9,10,1.78,20,2.17,1.09,2.55,4.48,5.21
214,2,69,1,3,6,4,4,9,9,-1.22,20,-.83,.0899999999999999,-.45,3.48,5.21
215,2,69,1,4,6,4,4,2,8,-.22,20,-.83,.0899999999999999,-.45,2.48,-1.79
10,1,79,1,4,6,5,6,1,3,-.22,30,1.17,.0899999999999999,.55,-2.52,-2.79
30,1,79,1,5,7,6,4,3,6,.78,30,-.83,1.09,1.55,.48,-.79
36,2,79,1,5,7,3,4,3,4,.78,30,-.83,1.09,-1.45,-1.52,-.79
41,2,79,1,4,6,5,3,2,3,-.22,30,-1.83,.0899999999999999,.55,-2.52,-1.79
76,1,79,1,5,6,6,5,2,3,.78,30,.17,.0899999999999999,1.55,-2.52,-1.79
99,2,79,1,4,7,3,4,2,3,-.22,30,-.83,1.09,-1.45,-2.52,-1.79
